date,mean_temperature,city
1985-05-01,,belem
1985-06-01,,belem
1985-07-01,,belem
1985-08-01,,belem
1985-09-01,,belem
1985-10-01,,belem
1985-11-01,,belem
1985-12-01,,belem
1986-01-01,,belem
1986-02-01,,belem
1986-03-01,,belem
1986-04-01,,belem
1986-05-01,,belem
1986-06-01,,belem
1986-07-01,,belem
1986-08-01,,belem
1986-09-01,27.1,belem
1986-10-01,28.1,belem
1986-11-01,27.1,belem
1986-12-01,27.31,belem
1987-01-01,26.81,belem
1987-02-01,26.81,belem
1987-03-01,26.71,belem
1987-04-01,27.31,belem
1987-05-01,27.71,belem
1987-06-01,28.01,belem
1987-07-01,27.41,belem
1987-08-01,27.51,belem
1987-09-01,28.11,belem
1987-10-01,28.11,belem
1987-11-01,28.41,belem
1987-12-01,,belem
1988-01-01,27.03,belem
1988-02-01,27.33,belem
1988-03-01,26.93,belem
1988-04-01,26.93,belem
1988-05-01,27.43,belem
1988-06-01,,belem
1988-07-01,27.23,belem
1988-08-01,27.93,belem
1988-09-01,27.33,belem
1988-10-01,,belem
1988-11-01,27.53,belem
1988-12-01,26.84,belem
1989-01-01,26.64,belem
1989-02-01,26.74,belem
1989-03-01,26.44,belem
1989-04-01,26.74,belem
1989-05-01,26.64,belem
1989-06-01,27.14,belem
1989-07-01,26.84,belem
1989-08-01,27.44,belem
1989-09-01,27.34,belem
1989-10-01,,belem
1989-11-01,27.94,belem
1989-12-01,27.26,belem
1990-01-01,27.26,belem
1990-02-01,26.56,belem
1990-03-01,27.06,belem
1990-04-01,27.76,belem
1990-05-01,27.66,belem
1990-06-01,27.46,belem
1990-07-01,26.86,belem
1990-08-01,27.16,belem
1990-09-01,27.46,belem
1990-10-01,27.86,belem
1990-11-01,27.66,belem
1990-12-01,27.47,belem
1991-01-01,26.47,belem
1991-02-01,26.97,belem
1991-03-01,26.37,belem
1991-04-01,26.97,belem
1991-05-01,27.27,belem
1991-06-01,27.67,belem
1991-07-01,27.37,belem
1991-08-01,27.17,belem
1991-09-01,27.77,belem
1991-10-01,27.17,belem
1991-11-01,27.77,belem
1991-12-01,27.97,belem
1992-01-01,,belem
1992-02-01,,belem
1992-03-01,,belem
1992-04-01,,belem
1992-05-01,,belem
1992-06-01,,belem
1992-07-01,,belem
1992-08-01,,belem
1992-09-01,,belem
1992-10-01,,belem
1992-11-01,,belem
1992-12-01,,belem
1993-01-01,,belem
1993-02-01,,belem
1993-03-01,,belem
1993-04-01,,belem
1993-05-01,,belem
1993-06-01,,belem
1993-07-01,,belem
1993-08-01,,belem
1993-09-01,,belem
1993-10-01,,belem
1993-11-01,,belem
1993-12-01,,belem
1994-01-01,,belem
1994-02-01,,belem
1994-03-01,,belem
1994-04-01,,belem
1994-05-01,,belem
1994-06-01,,belem
1994-07-01,,belem
1994-08-01,,belem
1994-09-01,,belem
1994-10-01,,belem
1994-11-01,,belem
1994-12-01,,belem
1995-01-01,,belem
1995-02-01,,belem
1995-03-01,,belem
1995-04-01,,belem
1995-05-01,,belem
1995-06-01,,belem
1995-07-01,,belem
1995-08-01,,belem
1995-09-01,,belem
1995-10-01,,belem
1995-11-01,,belem
1995-12-01,,belem
1996-01-01,,belem
1996-02-01,,belem
1996-03-01,,belem
1996-04-01,,belem
1996-05-01,,belem
1996-06-01,,belem
1996-07-01,,belem
1996-08-01,27.54,belem
1996-09-01,27.54,belem
1996-10-01,28.14,belem
1996-11-01,28.04,belem
1996-12-01,,belem
1997-01-01,26.53,belem
1997-02-01,26.83,belem
1997-03-01,27.43,belem
1997-04-01,27.03,belem
1997-05-01,27.73,belem
1997-06-01,28.03,belem
1997-07-01,27.63,belem
1997-08-01,27.73,belem
1997-09-01,28.23,belem
1997-10-01,28.73,belem
1997-11-01,28.53,belem
1997-12-01,28.23,belem
1998-01-01,28.03,belem
1998-02-01,28.03,belem
1998-03-01,27.83,belem
1998-04-01,28.83,belem
1998-05-01,,belem
1998-06-01,28.33,belem
1998-07-01,28.13,belem
1998-08-01,28.23,belem
1998-09-01,28.33,belem
1998-10-01,28.53,belem
1998-11-01,28.43,belem
1998-12-01,27.92,belem
1999-01-01,27.42,belem
1999-02-01,27.92,belem
1999-03-01,27.12,belem
1999-04-01,27.42,belem
1999-05-01,27.32,belem
1999-06-01,27.72,belem
1999-07-01,27.82,belem
1999-08-01,28.22,belem
1999-09-01,27.92,belem
1999-10-01,28.02,belem
1999-11-01,28.52,belem
1999-12-01,28.01,belem
2000-01-01,27.31,belem
2000-02-01,26.71,belem
2000-03-01,27.01,belem
2000-04-01,27.11,belem
2000-05-01,27.51,belem
2000-06-01,27.61,belem
2000-07-01,27.31,belem
2000-08-01,27.71,belem
2000-09-01,27.61,belem
2000-10-01,27.91,belem
2000-11-01,28.31,belem
2000-12-01,27.51,belem
2001-01-01,26.61,belem
2001-02-01,26.41,belem
2001-03-01,26.91,belem
2001-04-01,27.21,belem
2001-05-01,27.81,belem
2001-06-01,27.41,belem
2001-07-01,27.41,belem
2001-08-01,27.91,belem
2001-09-01,28.01,belem
2001-10-01,28.21,belem
2001-11-01,28.51,belem
2001-12-01,28.7,belem
2002-01-01,27.2,belem
2002-02-01,27.8,belem
2002-03-01,27.3,belem
2002-04-01,27.4,belem
2002-05-01,27.8,belem
2002-06-01,27.5,belem
2002-07-01,27.7,belem
2002-08-01,,belem
2002-09-01,,belem
2002-10-01,,belem
2002-11-01,,belem
2002-12-01,,belem
2003-01-01,,belem
2003-02-01,27.21,belem
2003-03-01,27.21,belem
2003-04-01,27.76,belem
2003-05-01,28.1,belem
2003-06-01,28.21,belem
2003-07-01,27.91,belem
2003-08-01,28.06,belem
2003-09-01,28.06,belem
2003-10-01,28.11,belem
2003-11-01,28.41,belem
2003-12-01,27.85,belem
2004-01-01,27.66,belem
2004-02-01,26.76,belem
2004-03-01,27.26,belem
2004-04-01,,belem
2004-05-01,28.45,belem
2004-06-01,27.45,belem
2004-07-01,26.96,belem
